Gattung,Bid,Ask
NaaS Technology Inc.,"2,98","3,08"
Nabaltec AG,"14,35","14,60"
Nabors Industries Ltd.,"66,00","66,50"
Nacon S.A.,"0,576","0,587"
NagaCorp. Ltd.,"0,373","0,404"
Nagarro SE,"92,45","94,10"
Naked Wines PLC,"0,662","0,724"
NAKIKI SE,"0,452","0,555"
Nanalysis Scientific Corp.,"0,236","0,25"
Nano One Materials Corp.,"0,662","0,693"
Nanobiotix S.A.,"4,166","4,248"
Nanoco Group PLC,"0,146","0,153"
NanoDimension Ltd.,"2,18","2,22"
NanoRepro AG,"1,705","1,745"
Nanoviricides Inc.,"1,36","1,42"
NanoXplore Inc.,"1,712","1,776"
Napco Security Technologie.Inc,"36,12","36,38"
Nasdaq Inc.,"69,76","69,97"
Naspers Ltd.,"216,00","222,00"
Nat.Storage Affiliates Trust,"39,42","39,80"
Natera Inc.,"109,00","110,00"
National Australia Bank Ltd.,"23,385","23,625"
National Bank of Canada,"88,18","88,72"
National Bank of Greece S.A.,"6,946","7,02"
National Beverage Corp.,"42,20","42,40"
National Grid PLC,"12,30","12,40"
National Vision Holdings Inc.,"9,10","9,15"
Natural Cool Holdings Ltd,"0,027","0,0335"
Natural Gas Services Group Inc,"18,50","19,00"
"Naturgy Energy Group, S.A.","23,34","23,42"
NatWest Group PLC,"4,501","4,513"
Navient Corp.,"14,40","14,50"
"Navigator Company S.A., The","3,536","3,59"
Navigator Holdings Ltd.,"14,70","14,80"
NCAB Group AB(Publ),"5,635","5,745"
nCino Inc. New,"35,20","35,40"
NCR Voyix Corp.,"12,10","12,20"
Nebius Group N.V.,"21,40","21,80"
NEC Corp.,"80,28","81,36"
Neinor Homes SA,"15,04","15,18"
Nekkar ASA,"0,82","0,834"
Nektar Therapeutics,"1,267","1,294"
NEL ASA,"0,3879","0,3916"
Nemetschek SE,"101,20","101,80"
NEO Battery Materials Ltd.,"0,282","0,304"
Neo Performance Materials,"5,29","5,44"
Neobo Fastigheter AB,"1,846","1,8735"
NEOEN S.A.,"39,10","39,48"
Neogen Corp.,"12,90","13,00"
NeoGenomics Inc.,"12,40","12,50"
Neometals Ltd.,"0,0551","0,0591"
Neotech Metals Corp.,"0,0901","0,0949"
Nepra Foods Inc.,"0,06","0,0695"
Neptune Digital Assets Corp.,"0,694","0,698"
NerdWallet Inc. Cl.A,"10,60","10,70"
Neste Oyj,"14,865","14,945"
Nestlé S.A  (Spons.ADRs),"90,20","90,40"
net digital AG,"3,36","3,58"
NetApp Inc.,"111,10","111,46"
Netcompany Group A/S,"41,36","41,46"
NetDragon Websoft Inc.,"1,209","1,268"
NetEase Inc.,"14,80","15,20"
NetEase Inc.(Sp. ADRs),"74,50","75,00"
Netflix.com Inc.,"694,10","695,70"
Netfonds AG vink.Namens-Aktien o.N.,"39,40","39,80"
Netgear Inc.,"18,70","18,90"
NetList Inc.,"0,818","0,842"
Netscout Systems Inc.,"19,70","19,80"
Netstreit Corp.,"14,50","14,80"
Neurocrine Biosciences Inc.,"107,50","107,75"
Nevada Lithium Resources Inc.,"0,125","0,1435"
Nevro Corp.,"4,48","4,62"
New China Life Insurance Co.,"3,04","3,20"
New Fortress Energy Inc.,"7,832","7,894"
New Found Gold Corp.,"2,085","2,12"
New Gold Inc.,"2,641","2,675"
New Hope Corp. Ltd.,"3,001","3,048"
New Horizon Health Ltd.,./.,./.
New Mountain Finance Corp.,"10,49","10,60"
New Oriental Educat.&Techn.Grp,"5,85","5,95"
New Oriental Educat.&Techn.Grp Spons ADRs,"58,50","60,00"
New World Development Co. Ltd.,"0,965","1,00"
New World Resources Ltd.,"0,012","0,0125"
New World Solutions Inc.,"0,0153","0,0216"
New York Community Bancorp Inc,"9,85","9,90"
New York Mortgage Trust Inc.,"4,82","4,88"
New York Times Co.,"51,10","51,30"
NewAmsterdam Pharma Company NV,"17,50","17,60"
Newcore Gold Ltd.,"0,23","0,252"
Newegg Commerce Inc.,"0,612","0,626"
Newell Brands Inc.,"8,812","8,856"
Newlat Food S.p.A.,"11,50","11,60"
Newmont Corp.,"44,775","44,825"
Newmont Corp.,"44,00","45,40"
Newpark Resources Inc.,"6,30","6,35"
Newron Pharmaceuticals S.p.A.,"9,32","9,41"
News Corp.,"25,60","25,80"
News Corp.,"26,00","26,20"
News Corp. NEW Shares A,"24,40","24,60"
NewtekOne Inc.,"12,33","12,43"
Nexans S.A.,"138,80","139,30"
Nexe Innovations Inc.,"0,288","0,296"
NexGen Energy Ltd.,"7,024","7,132"
NeXGold Mining Corp.,"0,53","0,575"
Nexi S.p.A.,"5,928","5,984"
Nexity,"14,27","14,32"
Nexon Co. Ltd,"15,70","16,10"
Nexoptic Technology Corp.,./.,./.
Nexstar Media Group Inc.,"160,80","161,95"
Next Group PLC,"121,60","122,60"
NextCure Inc.,"1,26","1,32"
NextDecade Corp.,"5,392","5,508"
Nextech3D.AI Corp.,"0,0364","0,0468"
Nextera Energy Inc.,"76,86","76,94"
Nextleaf Solutions Ltd.,"0,0445","0,052"
Nextsource Materials Inc.,"0,377","0,4275"
Nexus AG,"49,40","49,95"
Nexus Uranium Corp.,"0,176","0,20"
NFON AG,"5,70","5,80"
NFT Ltd.,"7,20","8,10"
NG Energy International Corp.,"0,63","0,654"
NGEx Minerals Ltd.,"7,81","7,94"
NGK Insulators Ltd.,"11,10","11,40"
NGX Ltd.,"0,1045","0,1085"
NH Foods Ltd.,"30,80","31,60"
NIBE Industrier AB,"4,603","4,648"
NICE Ltd.,"165,00","167,00"
Nichirei Corp.,"24,40","25,00"
Nickel 28 Capital Corp.,"0,52","0,548"
Nickel Creek Platinum Ltd.,"0,462","0,585"
Nickel Industries Ltd.,"0,57","0,595"
Nicola Mining Inc.,"0,191","0,218"
Nidec Corp.,"19,175","19,49"
